Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
myexcel,com.github.liaochong.myexcel.core,Configuration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sheetName; workbookType; widthStrategy; excludeParent; includeAllField; defaultValue; wrapText; titleSeparator; ignoreStaticFields; titleRowHeight; rowHeight; style; useFieldNameAsTitle; dateFormat; dateTimeFormat; localTimeFormat; decimalFormat; computeAutoWidth; autoMerge; applicationBeans
myexcel,com.github.liaochong.myexcel.core,Csv,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,CsvReadHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,DefaultExcelBuilder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
myexcel,com.github.liaochong.myexcel.core,DefaultExcelReader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
myexcel,com.github.liaochong.myexcel.core,DefaultStreamExcelBuilder,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
myexcel,com.github.liaochong.myexcel.core,EnjoyExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,ExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,ExcelColumnMapping,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: title; order; index; groups; defaultValue; width; convertToString; format; style; linkType; mapping; customWriteConverter; fileType; formula; promptContainer
myexcel,com.github.liaochong.myexcel.core,ExcelFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,FreemarkerExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,FreezePane,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
myexcel,com.github.liaochong.myexcel.core,GroovyExcelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
